date,3D_printing,autonomous_cars,cloud_computing,drones,electric_cars,smartphones,solar_tech
1998-03-01,1.343190561131289e-6,2.552062066149449e-5,0,3.089338290601964e-4,2.4311749156476328e-4,2.8207001783757064e-5,4.083299305839118e-4
1998-04-01,0,3.425203437323388e-5,0,3.056335374842408e-4,2.239556093634523e-4,1.9760789061481086e-5,6.310278640299626e-4
1998-05-01,0,3.357227842967682e-5,0,3.236367640620845e-4,3.370656754339553e-4,1.0743129097496582e-5,4.24353599351115e-4
1998-06-01,0,1.9889753935329886e-5,0,3.21077456384611e-4,2.713530715462863e-4,3.551741774166051e-5,4.659885207705859e-4
1998-07-01,0,6.249652797066829e-5,0,3.1803788678406753e-4,2.73595911338259e-4,4.444197544580857e-5,3.013721459918893e-4
1998-08-01,0,3.371435234026772e-5,0,2.5847670127538585e-4,2.9359581829649806e-4,1.1238117446755907e-5,3.1045299446663194e-4
1998-09-01,0,3.415216565712865e-5,0,3.5791469608670827e-4,2.376990729736154e-4,4.2348685414839525e-5,3.2922687693472016e-4
1998-10-01,0,6.966123997007147e-5,3.8700688872261924e-6,3.6249645243685336e-4,2.4381433989525012e-4,3.7410665909853195e-5,3.663665213240796e-4
1998-11-01,0,2.290382817278648e-5,0,3.2604273045966635e-4,2.1152358959573397e-4,6.601691649803161e-5,5.402608880757282e-4
1998-12-01,0,1.6869309243959732e-5,0,3.14893772553915e-4,3.6269014874513425e-4,3.9361721569239375e-5,4.2735583418031323e-4
1999-01-01,0,3.180349679447255e-5,0,3.2201040504403457e-4,2.5972855715485917e-4,3.180349679447255e-5,3.6441506743666464e-4
1999-02-01,1.359621155161326e-6,2.583280194806519e-5,0,2.515299137048453e-4,2.42012565618716e-4,6.254257313742098e-5,3.5486112149710604e-4
1999-03-01,0,2.096963596711961e-5,0,2.615036955899622e-4,3.0344296752420145e-4,7.894451187621501e-5,3.194785714990576e-4
1999-04-01,0,1.638966039362921e-5,0,4.689964358792359e-4,4.3117414266316854e-4,4.916898118088764e-5,3.744407028390674e-4
1999-05-01,0,1.728444141006473e-5,0,3.407504163698475e-4,2.7037804777172683e-4,5.8026339019503026e-5,3.901345346843182e-4
1999-06-01,0,3.256959797391045e-5,0,3.986518792006639e-4,2.9312638176519405e-4,6.51391959478209e-5,4.429465324451821e-4
1999-07-01,1.2804212073603734e-6,1.536505448832448e-5,0,2.77851401997201e-4,3.162640382180122e-4,4.481474225761306e-5,4.3790405291724765e-4
1999-08-01,0,2.4995813201288785e-5,1.2497906600644392e-6,3.0369913039565873e-4,3.099480836959809e-4,5.998995168309308e-5,4.499246376231981e-4
1999-09-01,0,2.4392058433615185e-5,1.0976426295126833e-5,2.5855581939632097e-4,3.073399362635513e-4,4.878411686723037e-5,2.475793931011941e-4
1999-10-01,1.1447856159976922e-6,1.9461355471960765e-5,3.434356847993076e-6,3.171056156313607e-4,3.045129738553861e-4,1.0875463351978075e-4,3.045129738553861e-4
1999-11-01,0,2.2899208531039877e-5,1.2052215016336777e-6,0.0010075651753657547,2.530965153430723e-4,1.5547357371074443e-4,3.6036122898846964e-4
1999-12-01,0,2.5501808806867515e-5,6.071859239730361e-6,3.2545165524954737e-4,3.2909477079338554e-4,2.2708753556591548e-4,3.3273788633722377e-4
2000-01-01,0,2.0948135906850623e-5,0,2.8163604941432505e-4,4.573676339662386e-4,1.7922294053638867e-4,3.2585989188434303e-4
2000-02-01,0,2.7915708518129508e-5,2.326309043177459e-6,2.558939947495205e-4,2.7450446709494016e-4,2.2914144075297972e-4,3.6174105621409485e-4
2000-03-01,0,1.2681437018171442e-5,3.1703592545428604e-6,2.5996945887251456e-4,4.279984993632862e-4,2.3037943916344786e-4,3.529666636724385e-4
2000-04-01,0,2.7390850314709456e-5,4.565141719118243e-6,2.8303878658533105e-4,4.2227560901843747e-4,2.3624608396436908e-4,4.017324712824054e-4
2000-05-01,0,2.1872361646376406e-5,2.187236164637641e-6,2.6903004825042977e-4,3.171492438724579e-4,1.9685125481738765e-4,3.3136627894260256e-4
2000-06-01,0,2.8403797474107098e-5,3.4084556968928518e-6,3.044887089224281e-4,3.7038551906235656e-4,2.794933671452138e-4,3.5675169627478516e-4
2000-07-01,0,2.4047793271427444e-5,3.435399038775349e-6,3.172018445802572e-4,3.870549583686893e-4,2.0039827726189534e-4,3.847646923428391e-4
2000-08-01,0,5.219868310179489e-5,3.195837740926218e-6,2.9934346840008904e-4,3.6965189870046585e-4,2.5034062303922036e-4,3.600643854776872e-4
2000-09-01,2.04156837365601e-6,4.5935288407260225e-5,2.04156837365601e-6,2.5825839926748526e-4,4.0423053798388996e-4,2.05177621552429e-4,4.471034738306662e-4
2000-10-01,9.703631681193004e-7,2.619980553922111e-5,5.822179008715802e-6,3.357456561692779e-4,3.774712723984078e-4,2.0474662847317236e-4,5.928918957208925e-4
2000-11-01,0,2.1768944423884887e-5,4.947487369064747e-6,2.5331135329611506e-4,3.067442168820143e-4,2.899227598271942e-4,4.551688379539567e-4
2000-12-01,1.0464651453854027e-6,1.2557581744624832e-5,5.232325726927013e-6,2.5010516974711126e-4,2.762667983817463e-4,2.773132635271317e-4,8.622872797975718e-4
2001-01-01,5.225261001787039e-6,1.881093960643334e-5,7.315365402501855e-6,2.4349716268327602e-4,2.9783987710186124e-4,1.9437970926647786e-4,3.9816488833617237e-4
2001-02-01,0,2.729635866575399e-5,7.34901964077992e-6,3.0445938511802523e-4,3.8634846111528724e-4,1.7742633132740093e-4,7.75846502076623e-4
2001-03-01,4.763923758164175e-6,1.810291028102386e-5,2.8583542548985045e-6,2.6582694570556094e-4,2.905993492480146e-4,2.4200732691474005e-4,7.136357789729933e-4
2001-04-01,0,1.4955745947740636e-5,9.970497298493756e-7,3.29026410850294e-4,2.901414713861683e-4,1.8146305083258638e-4,6.670262692692324e-4
2001-05-01,0,1.7190351628642564e-5,7.640156279396696e-6,2.616753525693368e-4,5.529563107213358e-4,1.661733990768781e-4,8.986733823640363e-4
2001-06-01,0,2.4283436268121514e-5,1.2141718134060757e-5,2.9443666475097337e-4,3.4603896682073156e-4,1.6492500465432528e-4,7.133259403760694e-4
